Sale Date,Item,Category,Qty,Price Each,Amount,Order #,Customer Email,Payment Type,Cashier
2025-09-01 12:04,Iced Latte,Cold Coffee,2,$4.75,$9.50,ORD-1038,,Cash,Priya
2025-09-01 08:14,Latte,,1,$4.50,$4.50,ORD-1039,,Apple Pay,Sam
2025-09-01 11:35,Iced Latte,Cold Coffee,1,$4.75,,ORD-1040,,Apple Pay,Jordan
2025-09-02 13:29,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1041,guest8424@yahoo.com,Amex,Alex
2025-09-02 11:04,Cappuccino,Hot Coffee,2,$4.25,,ORD-1042,regular7@gmail.com,Mastercard,Alex
2025-09-02 12:38,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1043,guest8474@yahoo.com,Amex,Alex
2025-09-02 12:56,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1044,,Amex,Jordan
2025-09-03 11:56,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1045,regular7@gmail.com,Visa,Sam
2025-09-03 11:56,Cold Brew,Cold Coffee,1,$4.50,,ORD-1045,regular7@gmail.com,Apple Pay,Alex
2025-09-03 15:44,Croissant,Bakery,1,$3.25,$3.25,ORD-1046,,Amex,Jordan
2025-09-03 15:44,blueberry muffin  ,,1,$3.50,$3.50,ORD-1046,,Cash,Priya
Sep 03 2025 15:44,Cold Brew,Cold Coffee,1,$4.50,,ORD-1046,,Visa,Alex
9/3/2025 3:38 PM,Cold Brew,Cold Coffee,2,$4.50,$9.00,ORD-1047,guest3012@yahoo.com,Amex,Maria
Sep 03 2025 10:13,Latte,,1,$4.50,$4.50,ORD-1048,,Mastercard,Priya
Sep 03 2025 09:10,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1049,guest4650@yahoo.com,Amex,Maria
2025-09-04 08:31,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1050,guest1474@yahoo.com,Cash,Maria
Sep 04 2025 08:31,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1050,guest1474@yahoo.com,Cash,Jordan
2025-09-04 08:31,Drip Coffee,Hot Coffee,2,$2.75,$5.50,ORD-1050,guest1474@yahoo.com,Visa,Jordan
9/4/2025 2:27 PM,Bagel w/ Cream Cheese,Bakery,2,$3.75,$7.50,ORD-1051,,Visa,Sam
2025-09-04 08:57,Croissant,Bakery,1,$3.25,$3.25,ORD-1052,guest3394@yahoo.com,Cash,Priya
2025-09-04 13:08,  Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1053,guest4191@yahoo.com,Mastercard,Jordan
2025-09-05 10:52,Iced Latte,,1,$4.75,$4.75,ORD-1054,,Visa,Maria
2025-09-05 10:46,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1055,regular1@gmail.com,Cash,Priya
2025-09-06 10:01,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1056,,Apple Pay,Alex
2025-09-06 10:01,Croissant,Bakery,2,$3.25,$6.50,ORD-1056,,Mastercard,Sam
2025-09-06 10:01,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1056,,Mastercard,Maria
2025-09-06 08:08,Chai Latte,Tea,1,$4.25,$4.25,ORD-1057,,Apple Pay,Jordan
2025-09-06 09:12,latte  ,,1,$4.50,$4.50,ORD-1058,guest2510@yahoo.com,Visa,Sam
9/6/2025 9:12 AM,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1058,guest2510@yahoo.com,Mastercard,Jordan
9/7/2025 11:44 AM,blueberry muffin  ,,1,$3.50,$3.50,ORD-1059,regular5@gmail.com,Visa,Sam
2025-09-07 08:07,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1060,guest6556@yahoo.com,Mastercard,Alex
2025-09-07 08:07,Hot Tea,Tea,1,$2.95,$2.95,ORD-1060,guest6556@yahoo.com,Mastercard,Sam
2025-09-07 08:07,Croissant,Bakery,1,$3.25,$3.25,ORD-1060,guest6556@yahoo.com,Cash,Jordan
9/7/2025 12:34 PM,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1061,,Amex,Alex
Sep 07 2025 16:53,Breakfast Sandwich,Food,1,$6.50,$6.50,ORD-1062,regular2@gmail.com,Mastercard,Sam
Sep 07 2025 16:53,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1062,regular2@gmail.com,Apple Pay,Alex
9/7/2025 8:56 AM,cappuccino  ,Hot Coffee,1,$4.25,$4.25,ORD-1063,regular6@gmail.com,Cash,Maria
9/7/2025 9:02 AM,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1064,guest5909@yahoo.com,Amex,Alex
2025-09-07 12:31,Avocado Toast,Food,1,$7.50,$7.50,ORD-1065,regular3@gmail.com,Apple Pay,Priya
2025-09-07 13:51,LATTE,Hot Coffee,1,$4.50,$4.50,ORD-1066,regular4@gmail.com,Apple Pay,Maria
2025-09-08 10:00,Iced Latte,,1,$4.75,$4.75,ORD-1067,guest2148@yahoo.com,Visa,Maria
2025-09-08 12:29,Hot Tea,,1,$2.95,$2.95,ORD-1068,guest7267@yahoo.com,Mastercard,Priya
2025-09-08 11:00,Croissant,Bakery,1,$3.25,$3.25,ORD-1069,guest8959@yahoo.com,Cash,Priya
2025-09-08 08:05,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1070,,Visa,Sam
2025-09-08 11:09,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1071,,Amex,Jordan
2025-09-08 07:00,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1072,,Amex,Sam
2025-09-08 07:00,blueberry muffin  ,Bakery,,$3.50,$7.00,ORD-1072,,Amex,Priya
2025-09-09 13:54,Croissant,Bakery,1,$3.25,$3.25,ORD-1073,regular2@gmail.com,Amex,Sam
Sep 09 2025 13:40,Latte,Hot Coffee,2,$4.50,$9.00,ORD-1074,guest9998@yahoo.com,Apple Pay,Maria
9/9/2025 8:26 AM,  Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1075,regular5@gmail.com,Visa,Sam
2025-09-09 08:57,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1076,,Apple Pay,Sam
2025-09-09 09:23,Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1077,regular4@gmail.com,Mastercard,Maria
2025-09-09 09:23,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1077,regular4@gmail.com,Amex,Jordan
2025-09-09 12:27,BREAKFAST SANDWICH,Food,1,$6.50,$6.50,ORD-1078,,Amex,Priya
2025-09-09 12:27,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1078,,Cash,Jordan
9/9/2025 7:49 AM,Hot Tea,Tea,1,$2.95,$2.95,ORD-1079,regular3@gmail.com,Cash,Sam
2025-09-10 07:33,Drip Coffee,,1,$2.75,$2.75,ORD-1080,,Visa,Jordan
9/10/2025 10:35 AM,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1081,regular7@gmail.com,Visa,Jordan
2025-09-10 10:35,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1081,regular7@gmail.com,Apple Pay,Sam
2025-09-10 08:12,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1082,regular4@gmail.com,Amex,Sam
2025-09-10 15:09,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1083,,Mastercard,Sam
2025-09-10 16:59,Hot Tea,,1,$2.95,$2.95,ORD-1084,regular4@gmail.com,Visa,Sam
2025-09-11 09:56,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1085,regular4@gmail.com,Amex,Maria
2025-09-11 09:47,Cold Brew,Cold Coffee,,$4.50,,ORD-1086,,Mastercard,Maria
Sep 11 2025 13:57,Cappuccino,,2,$4.25,$8.50,ORD-1087,,Apple Pay,Sam
9/11/2025 7:14 AM,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1088,regular8@gmail.com,Visa,Priya
2025-09-11 07:14,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1088,regular8@gmail.com,Amex,Maria
9/11/2025 8:04 AM,Iced Latte,Cold Coffee,1,$4.75,,ORD-1089,,Amex,Jordan
2025-09-12 16:28,Croissant,Bakery,1,$3.25,$3.25,ORD-1090,regular3@gmail.com,Mastercard,Alex
2025-09-12 11:23,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1091,regular5@gmail.com,Visa,Priya
2025-09-12 10:41,Chai Latte,Tea,1,$4.25,$4.25,ORD-1092,,Cash,Sam
2025-09-12 10:41,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1092,,Amex,Priya
2025-09-12 08:49,Croissant,Bakery,,$3.25,$3.25,ORD-1093,,Cash,Priya
2025-09-13 13:52,Cappuccino,Hot Coffee,1,$4.25,,ORD-1094,regular6@gmail.com,Apple Pay,Maria
9/13/2025 12:05 PM,Drip Coffee,Hot Coffee,2,$2.75,,ORD-1095,,Amex,Jordan
2025-09-13 07:49,Drip Coffee,Hot Coffee,,$2.75,$2.75,ORD-1096,,Amex,Priya
Sep 13 2025 14:29,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1097,,Visa,Maria
Sep 13 2025 09:10,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1098,guest2099@yahoo.com,Amex,Alex
